model,ce,dice,ce_dice,weighted_ce_dice,focal_dice,cf_v,cf_b,cf_vb,cbav,cldice,model_mean
basic_unet,0.8039,0.7838,0.7975,0.7944,0.8027,0.8049,0.8057,0.8062,0.7989,0.8082,0.8006
residual_unet,0.8064,0.7891,0.7979,0.8066,0.8063,0.8157,0.8122,0.8129,0.8065,0.7914,0.8045
attention_unet,0.8080,0.7902,0.7998,0.8048,0.7932,0.8081,0.8141,0.8124,0.8091,0.8054,0.8045
unetpp,0.8115,0.7658,0.8056,0.8102,0.8060,0.8166,0.8132,0.8137,0.7979,0.8110,0.8051
resunetpp,0.8041,0.7790,0.8075,0.8029,0.8023,0.8131,0.8096,0.8084,0.7985,0.7942,0.8020
loss_mean,0.8068,0.7816,0.8017,0.8038,0.8021,0.8117,0.8110,0.8107,0.8022,0.8020,
